embedder,embedder_params_M,chunker,model,n,mean_quality,stdev_quality
all-minilm:22m,22,fixed,qwen3.5:0.8b,200,3.752,1.077
all-minilm:22m,22,fixed,qwen3.5:2b,200,4.186,0.897
all-minilm:22m,22,fixed,qwen3.5:4b,200,4.657,0.614
all-minilm:22m,22,fixed,qwen3.5:9b,200,4.463,0.662
all-minilm:22m,22,recursive,qwen3.5:0.8b,200,3.732,1.099
all-minilm:22m,22,recursive,qwen3.5:2b,200,4.103,1.006
all-minilm:22m,22,recursive,qwen3.5:4b,200,4.473,0.765
all-minilm:22m,22,recursive,qwen3.5:9b,200,4.278,0.726
all-minilm:22m,22,sentence,qwen3.5:0.8b,200,3.671,1.102
all-minilm:22m,22,sentence,qwen3.5:2b,200,3.959,1.099
all-minilm:22m,22,sentence,qwen3.5:4b,200,4.468,0.77
all-minilm:22m,22,sentence,qwen3.5:9b,200,4.299,0.806
nomic-embed-text,137,fixed,qwen3.5:0.8b,200,3.891,1.048
nomic-embed-text,137,fixed,qwen3.5:2b,200,4.238,0.879
nomic-embed-text,137,fixed,qwen3.5:4b,200,4.681,0.601
nomic-embed-text,137,fixed,qwen3.5:9b,200,4.54,0.555
nomic-embed-text,137,recursive,qwen3.5:0.8b,200,3.756,1.131
nomic-embed-text,137,recursive,qwen3.5:2b,200,4.157,0.953
nomic-embed-text,137,recursive,qwen3.5:4b,200,4.529,0.713
nomic-embed-text,137,recursive,qwen3.5:9b,200,4.403,0.677
nomic-embed-text,137,semantic,qwen3.5:0.8b,200,3.856,1.094
nomic-embed-text,137,semantic,qwen3.5:2b,200,4.159,0.985
nomic-embed-text,137,semantic,qwen3.5:4b,200,4.686,0.572
nomic-embed-text,137,semantic,qwen3.5:9b,200,4.522,0.591
nomic-embed-text,137,sentence,qwen3.5:0.8b,200,3.632,1.152
nomic-embed-text,137,sentence,qwen3.5:2b,200,4.028,1.014
nomic-embed-text,137,sentence,qwen3.5:4b,199,4.499,0.759
nomic-embed-text,137,sentence,qwen3.5:9b,200,4.385,0.721
embeddinggemma:300m,300,fixed,qwen3.5:0.8b,200,3.732,1.127
embeddinggemma:300m,300,fixed,qwen3.5:2b,200,4.221,0.888
embeddinggemma:300m,300,fixed,qwen3.5:4b,200,4.639,0.631
embeddinggemma:300m,300,fixed,qwen3.5:9b,200,4.501,0.601
embeddinggemma:300m,300,recursive,qwen3.5:0.8b,200,3.778,1.094
embeddinggemma:300m,300,recursive,qwen3.5:2b,200,4.216,0.958
embeddinggemma:300m,300,recursive,qwen3.5:4b,200,4.615,0.639
embeddinggemma:300m,300,recursive,qwen3.5:9b,200,4.46,0.635
embeddinggemma:300m,300,semantic,qwen3.5:0.8b,200,3.873,1.074
embeddinggemma:300m,300,semantic,qwen3.5:2b,200,4.076,1.021
embeddinggemma:300m,300,semantic,qwen3.5:4b,200,4.666,0.597
embeddinggemma:300m,300,semantic,qwen3.5:9b,200,4.522,0.583
embeddinggemma:300m,300,sentence,qwen3.5:0.8b,200,3.757,1.067
embeddinggemma:300m,300,sentence,qwen3.5:2b,200,4.051,0.973
embeddinggemma:300m,300,sentence,qwen3.5:4b,200,4.492,0.775
embeddinggemma:300m,300,sentence,qwen3.5:9b,200,4.418,0.661
qwen3-embedding:0.6b,600,fixed,qwen3.5:0.8b,200,3.997,1.033
qwen3-embedding:0.6b,600,fixed,qwen3.5:2b,200,4.175,0.913
qwen3-embedding:0.6b,600,fixed,qwen3.5:4b,200,4.667,0.575
qwen3-embedding:0.6b,600,fixed,qwen3.5:9b,200,4.526,0.586
qwen3-embedding:0.6b,600,recursive,qwen3.5:0.8b,200,3.72,1.128
qwen3-embedding:0.6b,600,recursive,qwen3.5:2b,200,4.192,0.925
qwen3-embedding:0.6b,600,recursive,qwen3.5:4b,200,4.538,0.667
qwen3-embedding:0.6b,600,recursive,qwen3.5:9b,200,4.353,0.736
qwen3-embedding:0.6b,600,semantic,qwen3.5:0.8b,199,3.831,1.103
qwen3-embedding:0.6b,600,semantic,qwen3.5:2b,200,4.116,0.957
qwen3-embedding:0.6b,600,semantic,qwen3.5:4b,200,4.706,0.577
qwen3-embedding:0.6b,600,semantic,qwen3.5:9b,200,4.483,0.661
qwen3-embedding:0.6b,600,sentence,qwen3.5:0.8b,200,3.752,1.15
qwen3-embedding:0.6b,600,sentence,qwen3.5:2b,200,4.12,0.994
qwen3-embedding:0.6b,600,sentence,qwen3.5:4b,200,4.517,0.777
qwen3-embedding:0.6b,600,sentence,qwen3.5:9b,200,4.37,0.739
qwen3-embedding:4b,2500,fixed,qwen3.5:0.8b,200,3.886,1.099
qwen3-embedding:4b,2500,fixed,qwen3.5:2b,200,4.198,0.98
qwen3-embedding:4b,2500,fixed,qwen3.5:4b,200,4.649,0.644
qwen3-embedding:4b,2500,fixed,qwen3.5:9b,200,4.538,0.511
qwen3-embedding:4b,2500,recursive,qwen3.5:0.8b,200,3.762,1.099
qwen3-embedding:4b,2500,recursive,qwen3.5:2b,200,4.162,0.991
qwen3-embedding:4b,2500,recursive,qwen3.5:4b,200,4.557,0.732
qwen3-embedding:4b,2500,recursive,qwen3.5:9b,200,4.431,0.653
qwen3-embedding:4b,2500,semantic,qwen3.5:0.8b,200,3.771,1.141
qwen3-embedding:4b,2500,semantic,qwen3.5:2b,200,4.172,0.918
qwen3-embedding:4b,2500,semantic,qwen3.5:4b,200,4.629,0.637
qwen3-embedding:4b,2500,semantic,qwen3.5:9b,200,4.501,0.67
qwen3-embedding:4b,2500,sentence,qwen3.5:0.8b,200,3.731,1.118
qwen3-embedding:4b,2500,sentence,qwen3.5:2b,200,3.933,1.056
qwen3-embedding:4b,2500,sentence,qwen3.5:4b,200,4.474,0.797
qwen3-embedding:4b,2500,sentence,qwen3.5:9b,200,4.314,0.715
